gene_id,gene_name,gene_type,gene_name_type
ENSMUSG00000068240.5,Gm11808,protein_coding,Gm*
ENSMUSG00000112517.1,Gm48001,lncRNA,Gm*
ENSMUSG00000097662.1,Gm2093,lncRNA,Gm*
ENSMUSG00000095686.7,Gm3099,protein_coding,Gm*
ENSMUSG00000024869.10,Gm49405,protein_coding,Gm*
ENSMUSG00000086107.1,Gm16312,lncRNA,Gm*
ENSMUSG00000096775.1,Gm5796,protein_coding,Gm*
ENSMUSG00000084790.1,Gm15879,lncRNA,Gm*
ENSMUSG00000086297.1,Gm15632,lncRNA,Gm*
ENSMUSG00000106535.1,Gm43031,lncRNA,Gm*
ENSMUSG00000091022.8,Gm3115,protein_coding,Gm*
ENSMUSG00000104284.1,Gm10862,lncRNA,Gm*
ENSMUSG00000113788.1,Gm47904,lncRNA,Gm*
ENSMUSG00000102517.1,Gm38085,lncRNA,Gm*
ENSMUSG00000091563.8,Gm8108,protein_coding,Gm*
ENSMUSG00000086921.1,Gm13189,lncRNA,Gm*
ENSMUSG00000102816.1,Gm37814,lncRNA,Gm*
ENSMUSG00000090764.8,Gm3127,protein_coding,Gm*
ENSMUSG00000113744.1,Gm47925,lncRNA,Gm*
ENSMUSG00000117905.1,Gm50230,lncRNA,Gm*
ENSMUSG00000097233.1,Gm17552,lncRNA,Gm*
ENSMUSG00000102136.1,Gm37107,lncRNA,Gm*
ENSMUSG00000079391.10,Gm2974,protein_coding,Gm*
ENSMUSG00000117839.1,Gm50251,lncRNA,Gm*
ENSMUSG00000118245.1,Gm30082,lncRNA,Gm*
ENSMUSG00000111266.1,Gm30570,lncRNA,Gm*
ENSMUSG00000117873.1,Gm45928,protein_coding,Gm*
ENSMUSG00000102357.1,Gm38348,lncRNA,Gm*
ENSMUSG00000109061.1,Gm49320,protein_coding,Gm*
ENSMUSG00000091114.1,Gm3138,protein_coding,Gm*
ENSMUSG00000118344.1,Gm50152,lncRNA,Gm*
ENSMUSG00000085559.1,Gm11959,lncRNA,Gm*
ENSMUSG00000085512.1,Gm11958,lncRNA,Gm*
ENSMUSG00000087355.7,Gm13187,lncRNA,Gm*
ENSMUSG00000102494.1,Gm36988,lncRNA,Gm*
ENSMUSG00000079389.10,Gm3149,protein_coding,Gm*
ENSMUSG00000117594.1,Gm50096,lncRNA,Gm*
ENSMUSG00000097641.2,Gm26865,lncRNA,Gm*
ENSMUSG00000095123.1,Gm21781,lncRNA,Gm*
ENSMUSG00000095056.7,Gm3159,protein_coding,Gm*
ENSMUSG00000117579.1,Gm50023,lncRNA,Gm*
ENSMUSG00000085687.1,Gm16153,lncRNA,Gm*
ENSMUSG00000091418.2,Gm3164,protein_coding,Gm*
ENSMUSG00000079386.8,Gm3173,protein_coding,Gm*
ENSMUSG00000091177.2,Gm15494,lncRNA,Gm*
ENSMUSG00000086874.1,Gm13175,lncRNA,Gm*
ENSMUSG00000113214.1,Gm48010,lncRNA,Gm*
ENSMUSG00000091148.7,Gm3182,protein_coding,Gm*
ENSMUSG00000104238.1,Gm37587,lncRNA,Gm*
ENSMUSG00000112422.1,Gm31938,lncRNA,Gm*
ENSMUSG00000085725.2,Gm15873,lncRNA,Gm*
ENSMUSG00000097822.7,Gm26655,lncRNA,Gm*
ENSMUSG00000112819.1,Gm46332,lncRNA,Gm*
ENSMUSG00000090472.8,Gm3047,protein_coding,Gm*
ENSMUSG00000112505.1,Gm48610,lncRNA,Gm*
ENSMUSG00000104328.1,Gm37323,lncRNA,Gm*
ENSMUSG00000086018.7,Gm13179,lncRNA,Gm*
ENSMUSG00000100446.1,Gm28242,lncRNA,Gm*
ENSMUSG00000117521.1,Gm50024,lncRNA,Gm*
ENSMUSG00000111971.1,Gm48678,lncRNA,Gm*
ENSMUSG00000079010.1,Gm11032,protein_coding,Gm*
ENSMUSG00000056288.11,Gm11961,lncRNA,Gm*
ENSMUSG00000071691.11,Gm960,protein_coding,Gm*
ENSMUSG00000108320.1,Gm44877,lncRNA,Gm*
ENSMUSG00000094258.7,Gm8159,protein_coding,Gm*
ENSMUSG00000113717.1,Gm40658,lncRNA,Gm*
ENSMUSG00000090872.8,Gm3239,protein_coding,Gm*
ENSMUSG00000097308.1,Gm6410,lncRNA,Gm*
ENSMUSG00000091700.7,Gm7876,protein_coding,Gm*
ENSMUSG00000094628.7,Gm3252,protein_coding,Gm*
ENSMUSG00000086944.1,Gm15859,lncRNA,Gm*
ENSMUSG00000096370.8,Gm21992,protein_coding,Gm*
ENSMUSG00000053499.4,Gm5444,lncRNA,Gm*
ENSMUSG00000090539.8,Gm9602,protein_coding,Gm*
ENSMUSG00000086464.2,Gm15835,lncRNA,Gm*
ENSMUSG00000105560.1,Gm42744,lncRNA,Gm*
ENSMUSG00000095913.1,Gm21844,lncRNA,Gm*
ENSMUSG00000093570.3,Gm20714,lncRNA,Gm*
ENSMUSG00000104217.1,Gm37988,protein_coding,Gm*
ENSMUSG00000097043.1,Gm10556,lncRNA,Gm*
ENSMUSG00000106212.1,Gm43112,lncRNA,Gm*
ENSMUSG00000105062.1,Gm43113,lncRNA,Gm*
ENSMUSG00000091494.8,Gm3269,protein_coding,Gm*
ENSMUSG00000094132.7,Gm3264,protein_coding,Gm*
ENSMUSG00000097278.7,Gm26650,lncRNA,Gm*
ENSMUSG00000106472.1,Gm43111,lncRNA,Gm*
ENSMUSG00000100984.1,Gm28357,lncRNA,Gm*
ENSMUSG00000091185.1,Gm3278,protein_coding,Gm*
ENSMUSG00000110221.1,Gm36210,protein_coding,Gm*
ENSMUSG00000100958.1,Gm29351,lncRNA,Gm*
ENSMUSG00000109441.1,Gm44983,lncRNA,Gm*
ENSMUSG00000113866.1,Gm47450,lncRNA,Gm*
ENSMUSG00000097397.2,Gm16861,lncRNA,Gm*
ENSMUSG00000116551.1,Gm41517,lncRNA,Gm*
ENSMUSG00000100597.1,Gm29349,lncRNA,Gm*
ENSMUSG00000085623.1,Gm16041,lncRNA,Gm*
ENSMUSG00000090827.8,Gm8297,protein_coding,Gm*
ENSMUSG00000106967.1,Gm42477,lncRNA,Gm*
ENSMUSG00000109129.1,Gm44973,protein_coding,Gm*
ENSMUSG00000079383.9,Gm3298,protein_coding,Gm*
ENSMUSG00000117789.1,Gm50388,protein_coding,Gm*
ENSMUSG00000093927.2,Gm20918,protein_coding,Gm*
ENSMUSG00000086604.2,Gm15510,lncRNA,Gm*
ENSMUSG00000096553.2,Gm10097,lncRNA,Gm*
ENSMUSG00000095681.7,Gm8281,protein_coding,Gm*
ENSMUSG00000117893.1,Gm46658,lncRNA,Gm*
ENSMUSG00000096922.1,Gm17308,lncRNA,Gm*
ENSMUSG00000117710.1,Gm10817,lncRNA,Gm*
ENSMUSG00000079378.8,Gm8279,protein_coding,Gm*
ENSMUSG00000106054.1,Gm43623,lncRNA,Gm*
ENSMUSG00000105287.1,Gm43577,lncRNA,Gm*
ENSMUSG00000097218.7,Gm26552,lncRNA,Gm*
ENSMUSG00000097888.2,Gm26682,lncRNA,Gm*
ENSMUSG00000095912.1,Gm3317,protein_coding,Gm*
ENSMUSG00000105864.1,Gm10484,lncRNA,Gm*
ENSMUSG00000087532.1,Gm15938,lncRNA,Gm*
ENSMUSG00000079380.4,Gm8271,protein_coding,Gm*
ENSMUSG00000101041.1,Gm29353,lncRNA,Gm*
ENSMUSG00000095693.1,Gm21820,protein_coding,Gm*
ENSMUSG00000094929.1,Gm3526,protein_coding,Gm*
ENSMUSG00000087168.1,Gm15983,lncRNA,Gm*
ENSMUSG00000118243.1,Gm50203,lncRNA,Gm*
ENSMUSG00000106202.1,Gm43727,lncRNA,Gm*
ENSMUSG00000118263.1,Gm42064,lncRNA,Gm*
ENSMUSG00000116029.1,Gm41414,lncRNA,Gm*
ENSMUSG00000104867.1,Gm43728,lncRNA,Gm*
ENSMUSG00000096023.1,Gm3542,protein_coding,Gm*
ENSMUSG00000117520.1,Gm50064,lncRNA,Gm*
ENSMUSG00000048398.7,Gm5065,protein_coding,Gm*
ENSMUSG00000096003.7,Gm3500,protein_coding,Gm*
ENSMUSG00000117617.1,Gm50065,lncRNA,Gm*
ENSMUSG00000101133.1,Gm29050,lncRNA,Gm*
ENSMUSG00000109313.1,Gm44693,lncRNA,Gm*
ENSMUSG00000094825.8,Gm3194,protein_coding,Gm*
ENSMUSG00000114098.1,Gm40660,lncRNA,Gm*
ENSMUSG00000095797.8,Gm8246,protein_coding,Gm*
ENSMUSG00000094578.8,Gm3187,protein_coding,Gm*
ENSMUSG00000063087.15,Gm10125,lncRNA,Gm*
ENSMUSG00000085189.1,Gm11963,lncRNA,Gm*
ENSMUSG00000095295.8,Gm3488,protein_coding,Gm*
ENSMUSG00000097450.7,Gm26893,lncRNA,Gm*
ENSMUSG00000097853.1,Gm3532,protein_coding,Gm*
ENSMUSG00000114053.1,Gm35330,lncRNA,Gm*
ENSMUSG00000087099.1,Gm11782,lncRNA,Gm*
ENSMUSG00000097926.1,Gm26575,lncRNA,Gm*
ENSMUSG00000073234.4,Gm8773,protein_coding,Gm*
ENSMUSG00000096629.7,Gm3383,protein_coding,Gm*
ENSMUSG00000099761.1,Gm29158,lncRNA,Gm*
ENSMUSG00000090547.1,Gm8265,protein_coding,Gm*
ENSMUSG00000096706.2,Gm21854,protein_coding,Gm*
ENSMUSG00000096470.1,Gm9603,protein_coding,Gm*
ENSMUSG00000118077.1,Gm50315,lncRNA,Gm*
ENSMUSG00000094370.7,Gm3373,protein_coding,Gm*
ENSMUSG00000096268.2,Gm20914,protein_coding,Gm*
ENSMUSG00000089766.1,Gm16538,lncRNA,Gm*
ENSMUSG00000118125.1,Gm50387,protein_coding,Gm*
ENSMUSG00000103034.1,Gm8797,protein_coding,Gm*
ENSMUSG00000100634.1,Gm28171,protein_coding,Gm*
ENSMUSG00000112404.1,Gm32442,lncRNA,Gm*
ENSMUSG00000090512.8,Gm3424,protein_coding,Gm*
ENSMUSG00000090707.8,Gm8237,protein_coding,Gm*
ENSMUSG00000056718.2,Gm13199,protein_coding,Gm*
ENSMUSG00000102979.1,Gm37350,lncRNA,Gm*
ENSMUSG00000113757.1,Gm47507,lncRNA,Gm*
ENSMUSG00000085818.7,Gm13267,lncRNA,Gm*
ENSMUSG00000100056.1,Gm28173,lncRNA,Gm*
ENSMUSG00000110156.2,Gm42067,lncRNA,Gm*
ENSMUSG00000084819.1,Gm11967,lncRNA,Gm*
ENSMUSG00000113017.1,Gm46401,lncRNA,Gm*
ENSMUSG00000101291.1,Gm29194,lncRNA,Gm*
ENSMUSG00000091275.1,Gm3248,protein_coding,Gm*
ENSMUSG00000096036.2,Gm21778,protein_coding,Gm*
ENSMUSG00000117508.1,Gm34804,lncRNA,Gm*
ENSMUSG00000090643.8,Gm3453,protein_coding,Gm*
ENSMUSG00000097404.2,Gm10814,lncRNA,Gm*
ENSMUSG00000091568.8,Gm8206,protein_coding,Gm*
ENSMUSG00000113054.1,Gm47514,lncRNA,Gm*
ENSMUSG00000097342.1,Gm26618,lncRNA,Gm*
ENSMUSG00000109283.1,Gm44733,lncRNA,Gm*
ENSMUSG00000091882.8,Gm6337,protein_coding,Gm*
ENSMUSG00000113483.1,Gm47548,lncRNA,Gm*
ENSMUSG00000100621.2,Gm28374,protein_coding,Gm*
ENSMUSG00000094634.8,Gm3468,protein_coding,Gm*
ENSMUSG00000117666.1,Gm550,protein_coding,Gm*
ENSMUSG00000079371.9,Gm3476,protein_coding,Gm*
ENSMUSG00000102887.1,Gm10857,lncRNA,Gm*
ENSMUSG00000109108.1,Gm36371,lncRNA,Gm*
ENSMUSG00000109165.1,Gm45148,lncRNA,Gm*
ENSMUSG00000100292.1,Gm29198,lncRNA,Gm*
ENSMUSG00000094460.7,Gm21560,protein_coding,Gm*
ENSMUSG00000091165.1,Gm17036,lncRNA,Gm*
ENSMUSG00000101081.1,Gm29193,lncRNA,Gm*
ENSMUSG00000099815.1,Gm28430,lncRNA,Gm*
ENSMUSG00000117519.1,Gm41664,lncRNA,Gm*
ENSMUSG00000093482.8,Gm20619,lncRNA,Gm*
ENSMUSG00000087485.1,Gm13383,lncRNA,Gm*
ENSMUSG00000101525.1,Gm28593,lncRNA,Gm*
ENSMUSG00000079396.4,Gm3411,protein_coding,Gm*
ENSMUSG00000095148.2,Gm20873,protein_coding,Gm*
ENSMUSG00000085196.1,Gm14963,lncRNA,Gm*
ENSMUSG00000113765.1,Gm47549,lncRNA,Gm*
ENSMUSG00000114097.1,Gm35615,lncRNA,Gm*
ENSMUSG00000108949.1,Gm45069,lncRNA,Gm*
ENSMUSG00000094811.7,Gm21103,protein_coding,Gm*
ENSMUSG00000089771.1,Gm16311,lncRNA,Gm*
ENSMUSG00000109080.1,Gm38944,lncRNA,Gm*
ENSMUSG00000109398.2,Gm3854,protein_coding,Gm*
ENSMUSG00000097447.7,Gm26630,lncRNA,Gm*
ENSMUSG00000079467.8,Gm14966,lncRNA,Gm*
ENSMUSG00000116719.1,Gm29719,lncRNA,Gm*
ENSMUSG00000072738.3,Gm16440,protein_coding,Gm*
ENSMUSG00000101540.2,Gm28465,lncRNA,Gm*
ENSMUSG00000089780.1,Gm16306,lncRNA,Gm*
ENSMUSG00000096904.7,Gm3591,protein_coding,Gm*
ENSMUSG00000084876.7,Gm14965,lncRNA,Gm*
ENSMUSG00000045929.8,Gm20715,protein_coding,Gm*
ENSMUSG00000106064.1,Gm40263,lncRNA,Gm*
ENSMUSG00000085716.1,Gm13388,lncRNA,Gm*
ENSMUSG00000095360.7,Gm3594,protein_coding,Gm*
ENSMUSG00000093658.1,Gm20617,lncRNA,Gm*
ENSMUSG00000086109.2,Gm13391,lncRNA,Gm*
ENSMUSG00000086839.7,Gm11973,lncRNA,Gm*
ENSMUSG00000093380.1,Gm20685,lncRNA,Gm*
ENSMUSG00000101320.1,Gm28529,lncRNA,Gm*
ENSMUSG00000090627.8,Gm8356,protein_coding,Gm*
ENSMUSG00000052188.6,Gm14964,lncRNA,Gm*
ENSMUSG00000101243.1,Gm28919,protein_coding,Gm*
ENSMUSG00000093898.2,Gm3629,protein_coding,Gm*
ENSMUSG00000093675.7,Gm20618,lncRNA,Gm*
ENSMUSG00000089647.2,Gm2245,lncRNA,Gm*
ENSMUSG00000096839.7,Gm3460,protein_coding,Gm*
ENSMUSG00000094590.2,Gm10251,protein_coding,Gm*
ENSMUSG00000085285.1,Gm14968,lncRNA,Gm*
ENSMUSG00000079806.2,Gm21719,protein_coding,Gm*
ENSMUSG00000097901.7,Gm26680,lncRNA,Gm*
ENSMUSG00000086052.1,Gm11802,lncRNA,Gm*
ENSMUSG00000112454.1,Gm48619,lncRNA,Gm*
ENSMUSG00000091814.1,Gm8050,protein_coding,Gm*
ENSMUSG00000086808.1,Gm11981,lncRNA,Gm*
ENSMUSG00000101388.1,Gm28444,lncRNA,Gm*
ENSMUSG00000091754.8,Gm3636,protein_coding,Gm*
ENSMUSG00000078488.1,Gm10945,protein_coding,Gm*
ENSMUSG00000090404.7,Gm8362,protein_coding,Gm*
ENSMUSG00000117461.1,Gm50081,lncRNA,Gm*
ENSMUSG00000096685.7,Gm3642,protein_coding,Gm*
ENSMUSG00000099102.1,Gm11983,protein_coding,Gm*
ENSMUSG00000090691.3,Gm3667,protein_coding,Gm*
ENSMUSG00000087079.1,Gm13389,lncRNA,Gm*
ENSMUSG00000117652.1,Gm2350,lncRNA,Gm*
ENSMUSG00000096686.2,Gm20830,protein_coding,Gm*
ENSMUSG00000075538.2,Gm10855,lncRNA,Gm*
ENSMUSG00000116618.1,Gm49719,lncRNA,Gm*
ENSMUSG00000062319.2,Gm10115,lncRNA,Gm*
ENSMUSG00000097356.1,Gm26774,lncRNA,Gm*
ENSMUSG00000099505.1,Gm28442,lncRNA,Gm*
ENSMUSG00000091400.1,Gm6356,protein_coding,Gm*
ENSMUSG00000100161.1,Gm28445,lncRNA,Gm*
ENSMUSG00000116876.1,Gm49721,protein_coding,Gm*
ENSMUSG00000114017.1,Gm40662,lncRNA,Gm*
ENSMUSG00000117356.1,Gm46633,lncRNA,Gm*
ENSMUSG00000093985.7,Gm10406,protein_coding,Gm*
ENSMUSG00000094083.2,Gm1604b,protein_coding,Gm*
ENSMUSG00000094021.7,Gm3685,protein_coding,Gm*
ENSMUSG00000092167.8,Gm3696,protein_coding,Gm*
ENSMUSG00000101913.1,Gm28999,lncRNA,Gm*
ENSMUSG00000096869.7,Gm6676,protein_coding,Gm*
ENSMUSG00000113241.1,Gm40663,lncRNA,Gm*
ENSMUSG00000090363.8,Gm3512,protein_coding,Gm*
ENSMUSG00000094484.2,Gm21244,protein_coding,Gm*
ENSMUSG00000095015.7,Gm16434,protein_coding,Gm*
ENSMUSG00000110105.1,Gm45844,protein_coding,Gm*
ENSMUSG00000100939.1,Gm28998,protein_coding,Gm*
ENSMUSG00000096183.7,Gm3727,protein_coding,Gm*
ENSMUSG00000087637.1,Gm11986,lncRNA,Gm*
ENSMUSG00000091472.2,Gm3739,protein_coding,Gm*
ENSMUSG00000110243.1,Gm45631,lncRNA,Gm*
ENSMUSG00000091558.1,Gm17227,lncRNA,Gm*
ENSMUSG00000100262.1,Gm28398,lncRNA,Gm*
ENSMUSG00000098501.7,Gm19272,lncRNA,Gm*
ENSMUSG00000072726.3,Gm5797,protein_coding,Gm*
ENSMUSG00000110139.1,Gm45783,protein_coding,Gm*
ENSMUSG00000097797.6,Gm26901,lncRNA,Gm*
ENSMUSG00000116672.1,Gm49630,protein_coding,Gm*
ENSMUSG00000091676.1,Gm8374,protein_coding,Gm*
ENSMUSG00000117743.1,Gm50232,lncRNA,Gm*
ENSMUSG00000071591.3,Gm10339,lncRNA,Gm*
ENSMUSG00000087252.1,Gm14379,lncRNA,Gm*
ENSMUSG00000100948.1,Gm28395,lncRNA,Gm*
ENSMUSG00000092092.1,Gm17215,lncRNA,Gm*
ENSMUSG00000090199.1,Gm16029,lncRNA,Gm*
ENSMUSG00000100961.1,Gm28394,lncRNA,Gm*
ENSMUSG00000091227.1,Gm3755,protein_coding,Gm*
ENSMUSG00000113225.1,Gm36074,lncRNA,Gm*
ENSMUSG00000091617.8,Gm3752,protein_coding,Gm*
ENSMUSG00000109260.1,Gm30954,lncRNA,Gm*
ENSMUSG00000103067.1,Gm30414,lncRNA,Gm*
ENSMUSG00000112323.1,Gm32828,lncRNA,Gm*
ENSMUSG00000099424.1,Gm28641,lncRNA,Gm*
ENSMUSG00000079364.3,Gm3558,protein_coding,Gm*
ENSMUSG00000101521.1,Gm28393,lncRNA,Gm*
ENSMUSG00000103436.1,Gm36995,lncRNA,Gm*
ENSMUSG00000116585.1,Gm33086,lncRNA,Gm*
ENSMUSG00000094706.7,Gm10338,protein_coding,Gm*
ENSMUSG00000097804.1,Gm16685,lncRNA,Gm*
ENSMUSG00000094081.2,Gm20826,protein_coding,Gm*
ENSMUSG00000063277.7,Gm10128,protein_coding,Gm*
ENSMUSG00000116955.1,Gm49632,lncRNA,Gm*
ENSMUSG00000087644.1,Gm14703,lncRNA,Gm*
ENSMUSG00000105068.1,Gm30835,lncRNA,Gm*
ENSMUSG00000085070.1,Gm13211,lncRNA,Gm*
ENSMUSG00000109493.1,Gm45208,protein_coding,Gm*
ENSMUSG00000100645.1,Gm28576,protein_coding,Gm*
ENSMUSG00000092190.1,Gm20470,lncRNA,Gm*
ENSMUSG00000084775.2,Gm16741,lncRNA,Gm*
ENSMUSG00000085630.1,Gm11795,lncRNA,Gm*
ENSMUSG00000115497.1,Gm49207,lncRNA,Gm*
ENSMUSG00000100124.1,Gm28575,lncRNA,Gm*
ENSMUSG00000102026.1,Gm28571,lncRNA,Gm*
ENSMUSG00000099890.2,Gm28262,lncRNA,Gm*
ENSMUSG00000117505.1,Gm9993,lncRNA,Gm*
ENSMUSG00000116450.1,Gm49534,lncRNA,Gm*
ENSMUSG00000099800.1,Gm28570,lncRNA,Gm*
ENSMUSG00000073291.3,Gm10491,protein_coding,Gm*
ENSMUSG00000073290.1,Gm10490,protein_coding,Gm*
ENSMUSG00000112006.1,Gm48633,lncRNA,Gm*
ENSMUSG00000109649.1,Gm45521,protein_coding,Gm*
ENSMUSG00000092185.1,Gm20416,lncRNA,Gm*
ENSMUSG00000116760.1,Gm1604a,lncRNA,Gm*
ENSMUSG00000099861.1,Gm29049,protein_coding,Gm*
ENSMUSG00000112360.1,Gm48614,lncRNA,Gm*
ENSMUSG00000110161.1,Gm45494,lncRNA,Gm*
ENSMUSG00000086528.1,Gm15731,lncRNA,Gm*
ENSMUSG00000112694.1,Gm33037,lncRNA,Gm*
ENSMUSG00000087193.7,Gm14820,lncRNA,Gm*
ENSMUSG00000109127.1,Gm31135,lncRNA,Gm*
ENSMUSG00000109566.1,Gm31401,lncRNA,Gm*
ENSMUSG00000095324.2,Gm20825,protein_coding,Gm*
ENSMUSG00000116988.1,Gm49673,protein_coding,Gm*
ENSMUSG00000086404.1,Gm6787,lncRNA,Gm*
ENSMUSG00000101229.1,Gm29046,lncRNA,Gm*
ENSMUSG00000112109.1,Gm30906,lncRNA,Gm*
ENSMUSG00000117490.1,Gm35031,lncRNA,Gm*
ENSMUSG00000101456.1,Gm29043,lncRNA,Gm*
ENSMUSG00000114126.1,Gm48257,lncRNA,Gm*
ENSMUSG00000100421.1,Gm29044,lncRNA,Gm*
